"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mctp2",552.894031581594,0.82695636611033,0.1278186311255,6.46976390553246,9.81561596768958e-11,1.87643514083339e-09
"Mdfi",692.664056798262,0.697374341961146,0.11677420321533,5.97198972683373,2.3437729330845e-09,3.59436173797018e-08
"Megf11",382.712940752107,0.965243463900716,0.159662582685091,6.04552079559247,1.48928138611509e-09,2.36058483626785e-08
"Megf6",990.115413405525,0.586141476318,0.105102708103978,5.57684465882773,2.44920393534839e-08,3.14746182909954e-07
"Meiob",188.514705140409,2.37649842773677,0.23254994982386,10.2193031197676,1.62504908608281e-24,1.29878923110772e-22
"Meltf",103.715521341292,1.25556031748392,0.281434739035625,4.46128406815119,8.1470010595962e-06,6.39571900333998e-05
"Mettl7a1",605.67518349547,0.909589924203498,0.125425412130983,7.25203855223217,4.10544982848388e-13,1.09233351390391e-11
"Mfap2",86.5525505009283,1.10160776246132,0.305727233594498,3.60323726973713,0.000314278400202679,0.00167153958438999
"Mfsd13a",3307.82161837464,1.40232046729162,0.0675526134376848,20.7589373072178,1.0179281322843e-95,2.64406832360848e-92
"Mfsd6",238.580223846059,0.653319266405921,0.190169834919183,3.43545161451902,0.000591567090433063,0.00291297728417039
"Mgst3",973.649905133945,0.649913519901576,0.100736317599654,6.45163070665795,1.10652954417015e-10,2.09223693611061e-09
"Micall1",1297.61671403297,0.627717956330561,0.0910093728519513,6.89728911055893,5.30042430442463e-12,1.19981282185124e-10
"Micall2",492.384440549365,0.872483978480701,0.134155451413392,6.50352981774995,7.84568615226205e-11,1.5151799093309e-09
"Mindy2",1226.13834811523,0.99726342152935,0.106714930226577,9.34511618394881,9.1788641926609e-21,5.43409680693714e-19
"Mir1906-1",388.125586108647,0.696988965970406,0.179818884226741,3.87606100976327,0.000106161076105625,0.000640356215232185
"Mir670hg",35.5371204731707,2.05331956045494,0.507427752858222,4.04652593179832,5.19833683815635e-05,0.000339011463418265
"Misp",281.354922008825,1.65900289614086,0.190762277692121,8.6967031229224,3.4166579070529e-18,1.58832553262996e-16
"Mlycd",691.918695841797,0.772430200220307,0.116607911862635,6.62416630125606,3.49213443290248e-11,7.01126120924769e-10
"Mmp11",8813.50560292893,0.691175034248695,0.0613375524329385,11.2683830187774,1.87990538511815e-29,2.17024632793084e-27
"Mmp2",2843.47322844448,0.665866300886552,0.0701865468577013,9.48709304984833,2.37566760781703e-21,1.48693894248307e-19
"Mmp25",585.137703326227,1.04596995566698,0.126286683841115,8.28250393353382,1.20611973347255e-16,4.7199939852278e-15
"Mogat2",121.912257139828,0.750839241689505,0.278454323608111,2.69645388141365,0.00700821013882544,0.0248856128989734
"Mpst",1502.07359206388,0.624779201761044,0.0866620407844342,7.20937559404051,5.62090238131265e-13,1.46185671443901e-11
"Ms4a14",22.0712974600123,1.79727065960408,0.622074522627398,2.88915651458143,0.00386276757827662,0.0149086757571672
"Mt3",321.395394554477,0.649505185685255,0.165188680402822,3.93189886922881,8.42775207835006e-05,0.000519978290344757
"Mturn",684.189162291165,0.686883490134795,0.139204951367101,4.93433231640876,8.04254060619811e-07,7.73006446793694e-06
"Muc3a",69.670024177767,1.20375847499085,0.353572535237597,3.40455876806704,0.000662710387575528,0.00321080015244101
"Mvb12b",706.302463863112,0.646999369013061,0.117555563317288,5.50377498738004,3.7174395664073e-08,4.60359917699307e-07
"Mxra7",1446.15440884045,0.817517587332174,0.0881747211351439,9.27156419444955,1.8343577213155e-20,1.06474730304291e-18
"Myb",275.130072000464,1.32749611083663,0.192835397845806,6.88408936152952,5.81583596574705e-12,1.30370087775862e-10
"Mybpc2",54.9912507558173,1.11821795155706,0.384248137330352,2.91014540584666,0.00361260641534859,0.0140791375301845
"Mycn",6161.11601828299,0.641858010044935,0.06924451657075,9.26944170935358,1.87122784541071e-20,1.08312297012909e-18
"Myh13",725.901264427725,0.851242989775912,0.120560955442359,7.06068549848955,1.65683204509072e-12,4.02207592254499e-11
"Myl3",68.5491207836774,3.40708155368606,0.42242611911071,8.06550873525208,7.29315211365505e-16,2.6728695047928e-14
"Myl4",366.632866418454,0.764812856881489,0.153148118961543,4.99394221794877,5.9159104045587e-07,5.84558336693912e-06
"Myo18a",13494.9570216856,0.676811750140542,0.0600473231625326,11.2713059382945,1.81852398457838e-29,2.11111331840998e-27
"Myo18b",280.113774446327,0.935675235575058,0.182868954573498,5.11664343331167,3.11020788094332e-07,3.25141473864292e-06
"Myom2",817.003143075289,1.04635837260939,0.13651188267002,7.66496184906244,1.7888436690383e-14,5.5982185907554e-13
"Myrf",3799.6343706501,0.780557920698429,0.0769169199336354,10.1480652289756,3.37997630584194e-24,2.57274386942841e-22
"Naga",903.300793756509,0.819997695175445,0.114032958691687,7.19088327255005,6.43735005687245e-13,1.65901824403855e-11
"Naglu",352.828399448592,1.18903196365072,0.162655062880387,7.31014419468216,2.66855862888796e-13,7.21100758235264e-12
"Nags",199.413714386023,1.12258968033952,0.227571934389369,4.93290037434407,8.10174837605425e-07,7.78130569099622e-06
"Ncan",461.839763133924,1.19594400389416,0.140501651609407,8.51195690723176,1.71022141927898e-17,7.41929041599526e-16
"Nccrp1",260.075362293291,1.77616614383315,0.186289276529586,9.53445188537769,1.50679420085979e-21,9.5460925286178e-20
"Ndrg2",3661.93584642815,1.25388402969168,0.0777197656224485,16.1333995239109,1.48610204526643e-58,7.18167453503172e-56
"Ndufa4l2",1714.30698733958,1.33312091897804,0.0976865774465271,13.6469201176362,2.10592566868327e-42,5.03001556267108e-40
"Necab3",604.864520740078,0.612757268988891,0.127847363976242,4.79288152630788,1.64402719230811e-06,1.47763343668523e-05
"Neil2",769.073054827931,0.816325823162563,0.136657279221935,5.97352609250204,2.32179631568964e-09,3.5659222054716e-08
"Nell2",1089.65037826736,0.663985931977956,0.0959458533076443,6.92042343767507,4.50295633418618e-12,1.03165857358753e-10
"Neu1",1215.04404743957,0.93971928557319,0.102373591045337,9.17931349264699,4.33848420258293e-20,2.41698932251135e-18
"Neurl1b",361.632122408817,0.632790446121007,0.155771974168497,4.06228687476557,4.85943070711017e-05,0.000318948105160295
"Neurog3",62.9693897635369,0.956366433259021,0.39723490877498,2.40755888300031,0.0160595721942521,0.0496161032109066
