"Row.names","log2FoldChange"
"Gm10873",1.14048002353517
"Gm47863",1.13930179471424
"Nxnl2",1.13882195428744
"n-R5-8s1",1.13807566225264
"Gm5086",1.13786823724252
"Gm46560",1.13757681088802
"Gm27000",1.13708700871673
"Elmo1",1.13569879578178
"Svop",1.13386292150818
"Ldb3",1.13346942777948
"Usp28",1.13210793374562
"Lef1",1.13205247679744
"Sorcs3",1.13118238868384
"Gm35572",1.12784668263306
"Gm37169",1.12724354336565
"Gm44510",1.12508038897672
"Bnipl",1.12489758992679
"Ccr7",1.12449948613117
"mt-Tn",1.12316592278069
"Rbakdn",1.12306627223537
"Nags",1.12258968033952
"Gm14573",1.12239830424736
"Mybpc2",1.11821795155706
"Dmrtc2",1.11566232298064
"Gm42655",1.1154457758059
"Pwwp2b",1.11523866866457
"Gm20715",1.11467397246953
"Gm11775",1.11393233400218
"Trim47",1.11359884804971
"Prkcb",1.11106141313471
"Atp1a3",1.11073008128444
"Dner",1.11046512087086
"Gm16285",1.11009836499849
"Gap43",1.10931159794329
"Fcer1g",1.10698031283043
"Rnf224",1.10622384826142
"Gna15",1.10383150120827
"mt-Tc",1.10289071585624
"Lag3",1.10249974483585
"Mfap2",1.10160776246132
"Gm13162",1.10150095446462
"Nxph4",1.10040189575468
"Gm12856",1.09734515410691
"Hpn",1.09432571441527
"mt-Ta",1.09427811470013
"Hpcal1",1.09388867227581
"Smarcd3",1.09253111975325
"Bmf",1.09004690205058
"2610316D01Rik",1.0889102611986
"4933439K11Rik",1.08695870931133
"Atp6v0a4",1.0864490599282
"Gm26600",1.08628475737964
"Gm44117",1.08596930572235
"Gm18001",1.08592988198952
"Gm4756",1.08474884282057
"Gm11586",1.08428195112979
"Dhrs7",1.08386800084805
"Gm19410",1.08375536967147
"Gli1",1.08268995577235
"Ptprn2",1.08154039529819
"Gm9866",1.08136493555518
"Fabp3",1.08095681943698
"Agbl2",1.08093241581924
"Lpin1",1.08030005543606
"Crip3",1.07960168424622
"Gm48478",1.07956524266441
"Gm26674",1.07795274742769
"Idua",1.07732759884544
"Dbx2",1.07707815431294
"Myl2",1.07654742839614
"BC051537",1.07611105239014
"Trim14",1.07539971569065
"Gm14760",1.07438340397343
"Tspan11",1.0739251481996
"Tppp3",1.07370218797719
"Gm48140",1.07185562177605
"Ankrd34a",1.06976608309846
"Pla1a",1.06904110413009
"Gm20496",1.06811779898337
"Sds",1.06788959363726
"Pax8",1.0666369207893
"Gm16034",1.06417031546344
"1700029J07Rik",1.06383739973738
"Cbs",1.06373204306999
"Prkar1b",1.06360583612193
"Greb1",1.06314804305338
"Gm44386",1.06253906660948
"mt-Ty",1.06110362645674
"Ccdc33",1.06099327991772
"Coq8a",1.06067034479633
"Gm22596",1.05959320864593
"Gm43332",1.05946510797162
"St6galnac6",1.05924199459672
"H2-Oa",1.05502274989755
"Cacna1s",1.05445723698037
"Gdap1",1.0539504849138
"Gm16033",1.05338879256683
"Gm5083",1.05328019748532
"Adam19",1.0530348025095
"6430590A07Rik",1.05279809887944
"Fgf15",1.05272590937491
"Izumo1",1.05250393989649
"Defb20",1.05243797599678
"Cxcl12",1.05139769710362
"Nfatc4",1.05136039832361
"Fzd10os",1.05052314815748
"Gm13547",1.05037111466469
"Myom2",1.04635837260939
"Catsperd",1.04625751032632
"Mmp25",1.04596995566698
"Gm31597",1.04354079281529
"Rcn3",1.0427168347047
"Gpr146",1.04213384905876
"Gm38560",1.04176005917966
"C130083M11Rik",1.04056867542846
"Gm9918",1.03975177516374
"1700023B13Rik",1.03716203817853
"Gm28959",1.03713501249458
"Ezh1",1.03699717292999
"Sh2d5",1.03597816129552
"Nlrp4g",1.03522884330075
"Gm5093",1.03522712909761
"Cldn5",1.03467610598382
"Soga3",1.03364443463647
"Arhgef9",1.03278976783081
"4933433G15Rik",1.03170395724067
"Apela",1.03080039740594
"Gm45886",1.03061767935712
"Slc6a16",1.03037183226436
