"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4930550L24Rik",73.7834612276959,-4.37850465973768,0.498810243960212,-8.77789643006396,1.66560545648185e-18,8.06789775890274e-17
"4930568E12Rik",8.84725026652636,-6.53450684891915,1.68268648766121,-3.88337750189077,0.000103015441939344,0.000623372418025499
"4930579F01Rik",14.0625522955503,-4.08486530884956,1.07204590849022,-3.81034550526138,0.000138772713076108,0.000810710423874482
"4930591A17Rik",157.784806341342,-1.06840249964109,0.232691965361408,-4.59148857151853,4.40095745289513e-06,3.64060095028507e-05
"4933402E13Rik",85.2975958685504,-1.400866389872,0.317300738746012,-4.41494840323504,1.01034085413711e-05,7.75004907676967e-05
"4933408N05Rik",9.71668512694094,-2.39021706964645,0.992035810584337,-2.40940603569396,0.0159785100479071,0.0494318056863941
"4933425L06Rik",11.2320641288714,-4.36900470017217,1.27692999707698,-3.421491162533,0.000622787489556031,0.00304578113273107
"4933427D06Rik",414.275761314956,-1.05915327416517,0.159456251199716,-6.64228129155371,3.08864780396584e-11,6.23732763521965e-10
"5430402O13Rik",22.603435488903,-2.50711381580929,0.660635051577032,-3.79500574458538,0.00014764003773159,0.000856015620553136
"5430421F17Rik",12.6365894119544,-2.14189973514532,0.87508415146759,-2.4476500134909,0.0143791253293956,0.0453824763585725
"6330410L21Rik",92.0450130334521,-1.73134487263463,0.314071021529606,-5.51259031859272,3.53590633873933e-08,4.39976848616786e-07
"6530403H02Rik",14.4633108912057,-2.80396347452728,0.87093514553483,-3.2194859616159,0.00128420648519173,0.00575922977357616
"6720489N17Rik",174.626686187942,-0.644413550834031,0.215587653655047,-2.98910229741231,0.00279798436240291,0.0113007026337672
"8030474K03Rik",763.804288006755,-0.659452590593498,0.111869796464664,-5.89482247607195,3.75084409248491e-09,5.59128696139429e-08
"9130023H24Rik",54.2053092786948,-1.28063793455287,0.419356470630879,-3.05381703691439,0.00225949836930074,0.0093923536935526
"9130227L01Rik",6.39488647427063,-3.50113736411356,1.43867155721814,-2.43359045123785,0.0149498996762917,0.0468212381723197
"9330121J05Rik",31.6699749354169,-1.43202256813429,0.515170250698049,-2.77970741942866,0.00544078945453949,0.0200211802488632
"9430018G01Rik",44.4585846038116,-1.61764161756358,0.439208986950556,-3.68307950343849,0.000230433252533308,0.00127249614340743
"A530040E14Rik",85.351783945932,-1.98758200700571,0.352511366057972,-5.63834871264504,1.71688562884321e-08,2.25771738484137e-07
"A530076I17Rik",19.4446331602245,-2.54239153977889,0.723407747262848,-3.51446545796409,0.000440639974453155,0.00225307545992533
"A930038B10Rik",29.7125386117766,-1.76620223378907,0.541066324378475,-3.26429894859546,0.00109735313317327,0.00502711598486342
"AA414768",120.642351728944,-1.85233772506319,0.308012003484957,-6.01384914907596,1.81169110588338e-09,2.82422664518054e-08
"AA467197",58.9632000534995,-0.955378816534909,0.373142292498832,-2.56036058024138,0.0104563609381624,0.0348098654750104
"AA623943",71.4061669330355,-2.27566795642859,0.377738425254577,-6.02445450153742,1.69680927352803e-09,2.66110918520094e-08
"AC121792.1",21.6745156495491,-2.18496253520202,0.658491375998312,-3.31813386605024,0.000906210421247898,0.00422694782346382
"AC125149.5",16.3203825371051,-2.77643125471582,0.835711645783264,-3.32223592757719,0.000892991532950884,0.00417372110992338
"AC140325.3",53.1743057513581,-2.04688919172355,0.430768597868938,-4.75171403358959,2.01699500173813e-06,1.77975185291373e-05
"AC140325.4",55.1125117475267,-2.43904024221447,0.431086300634376,-5.6578931843235,1.53242454665868e-08,2.0347464587583e-07
"AC140365.1",169.445919909535,-1.96533634755827,0.256467191404675,-7.66311018884751,1.81483509720716e-14,5.67101854435562e-13
"AC154607.1",641.339440087425,-0.773298279901326,0.124038614781475,-6.2343350194912,4.53701191283479e-10,7.81750477186625e-09
