"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm11292",24.117759619234,-2.15923825702878,0.636274531926458,-3.39356386069896,0.000689894708584166,0.00333008409857816
"Gm1141",24.791624004835,-3.09467307332132,0.687209580568754,-4.50324495004869,6.6923672415967e-06,5.34258130158968e-05
"Gm11427",386.129595170277,-5.10335570738075,0.262672586968882,-19.4285812854362,4.42421974676237e-84,7.66127386147684e-81
"Gm11543",54.8610553289109,-1.92328678434636,0.4539938735521,-4.23637167016891,2.27160651231968e-05,0.000162045943446629
"Gm11545",39.5555477352464,-1.63916487854821,0.467400231961893,-3.50698345113755,0.000453217333452188,0.00230886398360786
"Gm11546",55.7402696361577,-2.21027782463775,0.420098944832287,-5.26132677034013,1.4301959630133e-07,1.58927658349821e-06
"Gm11611",162.648561323243,0.750844978446119,0.254710547540904,2.94783622309768,0.00320006551253031,0.0126709911109718
"Gm11639",76.2780748051317,-1.15402972839664,0.328219012170951,-3.51603559088032,0.00043804225937119,0.00224089565478418
"Gm11723",74.9075305220656,0.828278597567787,0.329178654641341,2.51619777251427,0.0118628594148853,0.038619805521121
"Gm11724",93.9985339824743,0.832553532549565,0.30625515737779,2.71849636648745,0.00655793760320181,0.0235360869420611
"Gm11725",30.1610331214265,1.34894013663157,0.530430276181249,2.54310546966334,0.0109872058691141,0.0362058575896275
"Gm11734",37.9456458902154,1.63576010641961,0.482734208299883,3.38853157347293,0.00070267938492085,0.00338471896584499
"Gm11784",39.0352050130831,-2.18782582673657,0.503037084102511,-4.34923367655878,1.36614080945958e-05,0.000101604889121583
"Gm11839",55.6538513672329,-1.35619050113188,0.389474713463778,-3.48210154407883,0.00049749499980707,0.00250192306292133
"Gm11841",64.2118146538112,-1.28244659045484,0.361566707974305,-3.54691558202305,0.000389769463337079,0.00202282953250362
"Gm12114",13.7593831777478,-2.49362461699258,0.860940668210462,-2.89639543010065,0.00377476421736779,0.0146287953071433
"Gm12136",15.3786925519836,-2.89197083870015,0.842894374137969,-3.43100028595847,0.000601359966838134,0.00295559605271912
"Gm12183",397.597461174806,-1.59034457578745,0.155415598297558,-10.23285045522,1.41298056672295e-24,1.14248000686781e-22
"Gm12209",83.1298463341764,-3.82768058051498,0.424035468893938,-9.02679342013339,1.76775703229502e-19,9.20651406794247e-18
"Gm12617",23.5694229030579,-3.37580370018107,0.7433397360383,-4.54140083802427,5.58816688669473e-06,4.53601984005924e-05
"Gm12688",136.944258649932,0.635872573010127,0.248309409663069,2.56080739700096,0.0104429232663893,0.0347707010856546
"Gm12690",34.7708508126407,-1.3330280670341,0.4900414456447,-2.72023535739995,0.00652354662060425,0.0234328952076329
"Gm12790",30.2870694113215,-3.12390071221662,0.644465309256694,-4.84727520216662,1.251687382806e-06,1.15703130848349e-05
"Gm12794",267.714718969294,-2.32841990859433,0.205476728044141,-11.3317937790704,9.13152250605686e-30,1.09053469928656e-27
"Gm12800",200.185634531562,-2.49490151571092,0.233100639674691,-10.7031088339901,9.84197120452336e-27,9.55682998271006e-25
"Gm13024",60.4967140202552,-1.30526103544386,0.378594997423164,-3.44764469770567,0.000565497407004227,0.00279586869320672
"Gm13034",111.167127542843,-1.39087794265361,0.279808156026376,-4.97082702093394,6.66679100954699e-07,6.51014648394673e-06
"Gm13036",62.1705900897705,-1.64102935516573,0.385444021102934,-4.2575037238092,2.06722218144671e-05,0.00014853691884669
"Gm13061",388.359587401768,1.01271913924897,0.153139324494774,6.61305737497575,3.7646245622721e-11,7.51660665158731e-10
"Gm13119",188.483363986434,-1.45516863107536,0.226810089933403,-6.41580201084806,1.40083407203755e-10,2.59904750151253e-09
"Gm13128",20.2359148086471,-2.19027127482642,0.695341262145979,-3.14992277039156,0.00163313627712573,0.00708699181847817
"Gm13135",60.6596019357,-1.33952032887633,0.374188668593287,-3.57979928657937,0.000343858221282973,0.00181262654445971
"Gm13136",58.0274869518678,-1.04632114587607,0.385276056708135,-2.71576997235701,0.00661218415764351,0.0236903412206471
"Gm13146",30.9180310877515,-1.37564330167922,0.551886304920625,-2.49262083406304,0.0126804176194896,0.0408209261243986
"Gm13169",93.2506210684484,-1.35386702642371,0.302966267144836,-4.46870550699455,7.86943848893472e-06,6.19889809704562e-05
"Gm13222",7.32153104139115,-4.75102954732873,1.73774668245034,-2.7340173313578,0.00625667510555877,0.0225817473613538
"Gm13223",107.796965068456,-1.66641517972163,0.299290857876981,-5.56787865670987,2.57859284938749e-08,3.29945562871134e-07
"Gm13224",6.40347886104176,-3.4905139029598,1.44433812075852,-2.41668751436589,0.0156624566540406,0.0486132709889414
"Gm13228",322.543574586847,-1.61003047749791,0.183440342242487,-8.77686150067052,1.68099804563139e-18,8.12352078795821e-17
"Gm13230",1509.65076780368,-1.67621136978353,0.0948298347718399,-17.6759916730476,6.42015098120267e-70,6.06412442679053e-67
"Gm13241",190.622806416214,-1.35559287990479,0.213449636371365,-6.35087931256203,2.14087624822751e-10,3.88536318237271e-09
"Gm13245",75.4407321153711,-1.65556390094564,0.34191731765326,-4.84200072786181,1.28538293218753e-06,1.18501585318797e-05
"Gm13261",56.2278488985505,-2.68881814437063,0.430535550001696,-6.24528716469531,4.23022197281079e-10,7.3375636556768e-09
"Gm13360",9.11129335438845,-2.58840691869723,1.06349238012137,-2.43387443772923,0.0149381760220642,0.0467940633584302
"Gm13498",44.546723201025,-2.54422010872468,0.486487684661365,-5.2297728985589,1.69718398165057e-07,1.85813925915168e-06
"Gm13571",207.344779514193,0.708196602406349,0.203376768024158,3.48219026827207,0.000497330184337846,0.00250169964428478
"Gm13610",943.091564646159,0.665208484645638,0.107375218835457,6.195176986461,5.82195726365501e-10,9.85984286379389e-09
"Gm14027",104.767348300512,0.974957955178653,0.277471866278885,3.51371823116196,0.000441881271603359,0.00225824922888797
"Gm14124",624.564259695185,-0.732059350580891,0.122496766901195,-5.97615242507882,2.2846924638254e-09,3.52718494786715e-08
"Gm14139",443.615493373394,-0.798649774180891,0.142078720021727,-5.62117799244504,1.89659740864142e-08,2.48025765585706e-07
"Gm14235",105.912250955936,1.26675946105818,0.287265037412384,4.40972376056916,1.03502562956982e-05,7.92477250643364e-05
"Gm14267",102.218030874751,0.957163634041268,0.28401655469759,3.37009803904009,0.000751414445133181,0.00359116655240743
"Gm14401",138.643663796331,-0.923780809875591,0.242361611069394,-3.81158057911692,0.000138081027708778,0.000807350522168938
"Gm14412",117.084958454447,-1.47887249692629,0.272794315530548,-5.42119982980614,5.92003374415981e-08,7.06190018390591e-07
"Gm14443",350.497488768255,-0.967128617974669,0.160685393956601,-6.01877117864164,1.75746095859248e-09,2.74380456194979e-08
"Gm14455",51.6532709131446,1.32736685804431,0.398256950375364,3.33294084834738,0.000859332101340227,0.00403728715031651
"Gm14569",20.9342074936966,-2.99257319836765,0.744965786776098,-4.0170612550118,5.8928410504448e-05,0.000378526235017753
"Gm14685",102.302379473885,-1.34865269883083,0.300582993664667,-4.48678976274819,7.23043587192074e-06,5.73886252906909e-05
"Gm14742",70.2468843163004,-2.61004472288851,0.39512933006773,-6.60554538545929,3.96056544698125e-11,7.88319444332091e-10
"Gm14817",372.675850109815,0.585991573552124,0.154929693971321,3.78230640319083,0.000155381931796232,0.000897397593864842
"Gm15023",76.169184871969,-3.03362796250429,0.418865996649588,-7.24247846989152,4.40558394509535e-13,1.16030461823931e-11
"Gm15091",104.418367799708,-2.56600881259896,0.31713404119165,-8.09124369921635,5.90585569646294e-16,2.18369539808719e-14
"Gm15097",65.8345279218075,-1.74918820992949,0.386646275109472,-4.52400119316871,6.06813817747471e-06,4.87987272940884e-05
"Gm15107",25.8179974053497,-2.37302195829653,0.620218565763641,-3.82610597181133,0.000130186264190857,0.000766800048153632
"Gm15127",8.11979315684338,-3.87659140153995,1.36568754242985,-2.83856393289103,0.00453170400949875,0.0170905280067848
"Gm15262",798.541646789241,-1.95146846142012,0.115919167817681,-16.8347349119121,1.35795180827447e-63,9.40607952531452e-61
"Gm15270",152.889002651874,-1.69569218434564,0.251591734342829,-6.73985649319871,1.58543142325669e-11,3.32444651617295e-10
"Gm15398",19.9791390266058,-4.18981604644075,0.919897930440291,-4.55465319335524,5.24720739574996e-06,4.27763710018377e-05
"Gm15401",202.931006598194,-1.25998954545261,0.205816256269028,-6.12191460622841,9.24575738966399e-10,1.51400187988351e-08
"Gm15441",5945.32472405714,1.2497801097653,0.0652794184369121,19.1450864558961,1.06361925374698e-81,1.3813755058039e-78
"Gm15455",77.6805524300879,-1.76438967000493,0.365282333523452,-4.83020805574122,1.36390458467051e-06,1.24980181827492e-05
"Gm15462",175.082360145881,1.77095153880176,0.22757311908459,7.78190124530256,7.14426293759202e-15,2.37713976540469e-13
"Gm15512",163.165569387193,0.599253221102711,0.235737580752106,2.54203516974608,0.0110209083407693,0.0362938946626286
"Gm15542",81.9442087011113,-1.02000418314256,0.324626643218477,-3.14208400465789,0.00167749899541489,0.00726061302928115
"Gm15910",38.1554704205108,-1.13707954882681,0.467488656113139,-2.43231473952947,0.0150026642134192,0.0469469010798853
"Gm15915",92.812996739639,0.841567132256143,0.293080870566674,2.87145022678883,0.00408593121472942,0.015642161135239
"Gm16026",17.8856801600062,-2.73790354776449,0.807509964265088,-3.39055079061005,0.000697523282876331,0.00336300088588635
"Gm16033",624.42358197558,1.05338879256683,0.124779034530121,8.44203352376918,3.11863878793444e-17,1.31986382919099e-15
"Gm16034",459.157213902394,1.06417031546344,0.145764351752427,7.30062119214771,2.86442149915887e-13,7.71019154825407e-12
"Gm16059",921.530523039106,0.771297265198948,0.10325582092139,7.4697703075369,8.03349240982235e-14,2.32501354144998e-12
"Gm16063",34.8657935508368,-1.18203365117153,0.481468985356096,-2.45505668510984,0.0140862374362148,0.0446343418610162
"Gm16104",78.0492289776038,0.818804670275313,0.329132308874291,2.48776752752052,0.0128547730179232,0.0413118130702822
"Gm16105",102.913735258677,0.756797918537023,0.291380707267798,2.59728217984411,0.00939646956791626,0.0318686727507138
"Gm16143",30.1561148377667,1.34836527974466,0.535479319001302,2.51805295162367,0.0118005578905175,0.0384651910533261
"Gm16185",790.275336340525,1.26712969993673,0.426584153794066,2.97040968040374,0.00297402843695442,0.0119006953437152
"Gm16220",22.6548613492986,-1.56844078425599,0.619010646178701,-2.53378644444704,0.0112837475303189,0.0370362144495383
"Gm16239",19.2516306288631,-1.97437328923226,0.69243928986941,-2.85133053268051,0.00435366866592847,0.0165119976050362
"Gm16270",39.9971751509987,-1.45192251393806,0.494514702565868,-2.93605530109525,0.00332415056086937,0.0131063055903526
"Gm16368",24.7793575149525,-3.09884497210765,0.706803698432157,-4.3843078056631,1.16355156711353e-05,8.80823372117272e-05
"Gm16401",21.8596029156837,1.86268543891559,0.630571715972877,2.95396287485199,0.00313721743782298,0.0124601258329437
"Gm16411",58.7522618771239,-2.70977712551602,0.429247355686217,-6.31285688687361,2.73930798536891e-10,4.8902766268012e-09
"Gm16429",41.0880306103172,-2.2160845564859,0.482517632004974,-4.59275352752924,4.3743558885168e-06,3.62147869973622e-05
"Gm16478",483.229687422091,-2.52084943214696,0.168407973195035,-14.9687059604211,1.17586984428395e-50,4.44265006622191e-48
"Gm16499",37.2264363401823,-2.30958856789257,0.509001659233878,-4.53748730675817,5.69284557820107e-06,4.61692986624018e-05
"Gm16538",146.397185873808,-0.741143830047066,0.23867310927426,-3.10526741911011,0.0019010706348224,0.00806867806201174
"Gm16567",48.8542953254174,-1.09183022499079,0.419055284291308,-2.60545628684114,0.00917519805497587,0.0312455941629627
"Gm17210",43.402418084791,-1.52841020416227,0.442076713321209,-3.45734158372586,0.000545532879583168,0.00271135451751692
